title,source,published_date,description,url,category
"'Humiliated, broken, powerless': Sudan enters fourth year of war",NPR,2026-04-15,"While parts of Sudan's capital show fragile signs of life, across the country the conflict between the army and a rival paramilitary continues to drive mass displacement, hunger and allegations of atrocities.",https://www.npr.org/2026/04/15/nx-s1-5781032/sudan-darfur-war-genocide-famine,Conflict and Security
Sexual Violence Has Become the ‘Defining Feature’ of the World’s Worst Humanitarian Crisis,Jezebel,2026-04-02,"“Apart from the rapes, they beat us with sticks and pointed guns at my head,” one woman in Sudan told Doctors Without Borders about the violence against women amid the country’s ongoing civil war.",https://www.jezebel.com/three-years-on-sexual-violence-has-become-the-defining-horror-of-sudans-civil-war,Conflict and Security
Sudan war ‘being fought on women’s bodies’: Survivors detail sexual assault,Al Jazeera English,2026-03-31,"In a new report, Doctors Without Borders says sexual violence is the ‘defining feature’ of the conflict in Sudan.",https://www.aljazeera.com/news/2026/3/31/sudan-war-being-fought-on-womens-bodies-survivors-detail-sexual-assault,Conflict and Security
"After three years of war, what is the situation like in Sudan?",Al Jazeera English,2026-04-14,"Sudan’s war has displaced millions and caused thousands of deaths, with no clear end in sight to the ongoing violence.",https://www.aljazeera.com/news/2026/4/14/after-three-years-of-war-what-is-the-situation-like-in-sudan,Conflict and Security
How I harness research to inform humanitarian relief efforts,Nature.com,2026-04-13,"As a social scientist at Médecins Sans Frontières, Beverley Stringer researches the many non-medical factors that affect health during emergencies.",https://www.nature.com/articles/d41586-026-00197-5,Humanitarian Response
"South Sudan: Both Sides Blocking Aid, Displacing Civilians",Human Rights Watch,2026-04-13,"Click to expand Image
 



 
 
 

 
 
 
 
 Families gather under a tree at an informal site where displaced people, many from neighboring Jongeli state, have assembled without assistance or shelter at Yolakot informal camp near Mingkaman, Lakes state on Febru…",https://www.hrw.org/news/2026/04/12/south-sudan-both-sides-blocking-aid-displacing-civilians,Humanitarian Response
"Sudanese rebels using rape as a weapon of war ‘in a pattern of deliberate tactics designed to humiliate and terrorise’, says NGO",Independent.ie,2026-04-04,"Thousands of women and girls in Sudan have sought treatment after surviving sexual violence in the country’s civil war, Doctors Without Borders has found, in what it called “a pattern of deliberate tactics designed to humiliate and terrorise”.",https://www.independent.ie/world-news/africa/sudanese-rebels-using-rape-as-a-weapon-of-war-in-a-pattern-of-deliberate-tactics-designed-to-humiliate-and-terrorise-says-ngo/a1445465098.html,Conflict and Security
The Man Who Shaped Washington’s View of the Middle East,Foreign Policy,2026-04-09,Brett McGurk advised four presidents on a contested region—but to what end?,http://foreignpolicy.com/2026/04/09/brett-mcgurk-middle-east-israel-gaza-iran/,Humanitarian Response
"Baby Killers: The State of Israel, Its Patrons, and the Industrialized Slaughter of Children",Globalresearch.ca,2026-04-20,"They were not collateral damage. They were the target. And we knew. And we watched. And we supplied the weapons. And we vetoed the resolutions. And we called it self-defense. — The Verdict History Will Record

To read this article …
The post Baby Killers: The…",https://www.globalresearch.ca/israel-patrons-industrialized-slaughter-children/5923095,Conflict and Security
Trump’s Iran Fiasco’s Silver Lining – The End of NATO,Antiwar.com,2026-04-22,"The one great big positive that has come out of the Donald’s Iran fiasco is that he has not held back in blackening the name of NATO in a manner that has heretofore been unthinkable: “NATO WASN’T THERE WHEN WE NEEDED THEM, AND THEY WON’T BE THERE IF WE NEED T…",https://original.antiwar.com/david_stockman/2026/04/21/trumps-iran-fiascos-silver-lining-the-end-of-nato/,General
"Evidence of monkeypox virus clade IIb lineage A.2.2 in the Republic of the Congo and co-circulation of clade Ia, Ib and clade IIb",Nature.com,2026-04-03,"Whole-genome phylogenetic analyses have identified a case of monkeypox virus clade IIb lineage in the Republic of the Congo and co-circulation of three clade lineages, emphasizing the importance of improved surveillance given the risk of possible recombinatio…",https://www.nature.com/articles/s41591-026-04256-2,Humanitarian Response
"Epidemiological and molecular characterization of Rift Valley fever outbreak in livestock in Burundi, May - November 2022",Plos.org,2026-04-10,"Author summary Rift Valley fever virus (RVFV) is a zoonotic pathogen that causes vector-borne disease in ruminants and humans, severely impacting the health and economy of affected countries. In Burundi, RVFV was reported and officially confirmed for the firs…",https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0014155,Health and Disease
"Perceptions of factors influencing Ebola vaccine acceptance among community members, healthcare workers, and response personnel in Eastern Democratic Republic of the Congo",Plos.org,2026-04-07,"Background The 2018–2020 Ebola Virus Disease (EVD) outbreak in Eastern Democratic Republic of the Congo (DRC) occurred amid armed conflict, institutional mistrust, and fragile health systems. The Ebola vaccine was deployed under emergency pre-licensure use, a…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0346572,Health and Disease
Flood alert: 10 states risk cholera surge,The Punch,2026-04-16,"Nigeria’s NCDC places 10 states on high alert for a cholera surge due to heavy rainfall and flood forecasts. Learn about the risks and preventive measures.

Read More: https://punchng.com/flood-alert-10-states-risk-cholera-surge/",https://punchng.com/flood-alert-10-states-risk-cholera-surge/,Health and Disease
NCDC identifies 10 states at risk of cholera outbreak,The Punch,2026-04-15,"Nigeria’s NCDC places 10 states on high alert for a cholera outbreak risk following heavy rainfall and flood forecasts. Learn about the risks and preventio

Read More: https://punchng.com/ncdc-identifies-10-states-at-risk-of-cholera-outbreak/",https://punchng.com/ncdc-identifies-10-states-at-risk-of-cholera-outbreak/,Health and Disease
Trump's VA killed a home loan program. Vets are now losing their homes because of it,NPR,2026-04-02,Foreclosures on VA loans are at their highest level in a decade. VA has a fix but it is months away and could still leave vets worse off than most other homeowners.,https://www.npr.org/2026/04/02/nx-s1-5750814/veterans-mortgages-foreclosure-va-rescue,Conflict and Security
"We dug up medics in Gaza. A year later, international law remains buried",Al Jazeera English,2026-03-30,Israel has created an environment of impunity for attacks on healthcare that has spread well beyond Gaza's borders.,https://www.aljazeera.com/opinions/2026/3/30/we-dug-up-medics-in-gaza-a-year-later-international-law-remains-buried,Conflict and Security
Hoover Afghanistan Research & Relief Team,Hoover.org,2026-04-09,Senior Fellow H.R. McMaster discusses the origins and evolution of the Hoover Afghanistan Research & Relief Team.,https://www.hoover.org/research/hoover-afghanistan-research-relief-team,Humanitarian Response
"With over 1,000 aid workers killed, often at the hands of Member States, UN Relief Chief demands action, accountability",Globalsecurity.org,2026-04-08,"Statement to the Security Council by Tom Fletcher, Under-Secretary-General for Humanitarian Affairs and Emergency Relief Coordinator, pursuant to resolution 2730 (2024) on the safety and security of humanitarian personnel and the protection of United Nations …",https://www.globalsecurity.org/military/library/news/2026/04/mil-260408-unocha02.htm,Humanitarian Response
"World News in Brief: Death on the Mediterranean, displacement in Afghanistan, 'One Health' summit",Globalsecurity.org,2026-04-07,"Over 180 people are feared dead or missing in the latest shipwrecks on the Mediterranean, according to the UN migration agency, IOM.",https://www.globalsecurity.org/military/library/news/2026/04/mil-260407-unnews02.htm,Humanitarian Response
India delivers aid to flood and earthquake-hit Afghanistan,The Times of India,2026-04-06,India has sent humanitarian aid to Afghanistan following devastating floods and earthquakes. The assistance includes essential relief materials. Natural disasters have claimed many lives and destroyed homes across several Afghan provinces. Residents are appea…,https://economictimes.indiatimes.com/news/india/india-delivers-aid-to-flood-and-earthquake-hit-afghanistan/articleshow/130048818.cms,Natural Disaster
Doctor worried for family’s safety after brother was ‘headbutted and told to speak English’,The Irish Times,2026-03-30,Fatima Abdullah’s siblings moved from Afghanistan to Ireland after the Taliban regained power,https://www.irishtimes.com/ireland/2026/03/30/doctor-worried-for-familys-safety-after-brother-was-headbutted-and-told-to-speak-english/,Health and Disease
東京マラソン2027チャリティについて/ Tokyo Marathon 2027 Charity,Prtimes.jp,2026-04-15,"[認定特定非営利活動法人ADRA Japan]
[画像: https://prcdn.freetls.fastly.net/release_image/49238/142/49238-142-19b2627a513eab9d185777ab01f5d649-881x365.png?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&amp...",https://prtimes.jp/main/html/rd/p/000000142.000049238.html,General
"Lest We Forget the Horrors: An Unending Catalog of Trump’s Cruelties, Collusions, Corruptions, and Crimes: March 2026: Atrocities 805-866",Mcsweeneys.net,2026-04-22,"Early in President Trump’s first term, McSweeney’s editors began to catalog the head-spinning number of misdeeds coming from his administration. We called this list a collection of Trump’s cruelties, collusions, corruptions, and crimes, and it felt urgent to …",https://www.mcsweeneys.net/articles/march-2026-atrocities-805-866,General
Pakistan Walks a Tightrope on Iran,Foreign Policy,2026-04-10,"As Islamabad hosts peace talks, it’s also balancing a security pact with Riyadh.",http://foreignpolicy.com/2026/04/10/pakistan-us-iran-talks-mediator-saudi-arabia-mutual-defense-pact/,Conflict and Security
"Middle East war: UN initiatives support mediation, 'lifesaving' fertiliser shipments",Globalsecurity.org,2026-03-30,"Just hours after war broke out in the Middle East last month, United Nations Secretary-General António Guterres warned the Security Council that the fighting risked ""igniting a chain of events that no one can control in the most volatile region of the world.""",https://www.globalsecurity.org/wmd/library/news/iran/2026/03/iran-260328-unnews01.htm,Conflict and Security
"India watches, Pakistan acts: The optics war Delhi is losing",The Times of India,2026-04-22,"Pakistan's diplomatic engagement with Iran is earning praise, contrasting with India's cautious stance.  Pakistan's efforts are creating opportunities while India navigates economic and energy challenges.  India faces scrutiny over its response to global even…",https://economictimes.indiatimes.com/opinion/et-commentary/india-watches-pakistan-acts-the-optics-war-delhi-is-losing/articleshow/130449856.cms,Conflict and Security
"World News in Brief: Death on the Mediterranean, displacement in Afghanistan, ‘One Health’ summit",Ungeneva.org,2026-04-08,"World News in Brief: Death on the Mediterranean, displacement in Afghanistan, ‘One Health’ summitungeneva.org",https://www.ungeneva.org/en/news-media/news/2026/04/117440/world-news-brief-death-mediterranean-displacement-afghanistan-one,General
Men 18-25 to Be Automatically Registered for Draft by December in Major Selective Service Overhaul,Ibtimes.com.au,2026-04-09,"WASHINGTON — Nearly all young men in the United States will soon be automatically added to the military draft database without lifting a finger, as the Selective Service System prepares to shift from self-registration to government-driven enrollment using fed…",https://www.ibtimes.com.au/men-18-25-automatically-registered-draft-december-major-selective-service-overhaul-1865926,Conflict and Security
What It’s Like: Stories From Philly’s Medical Heroes,phillymag.com,2026-04-25,"Ever since 1751, when Benjamin Franklin and physician Thomas Bond opened Pennsylvania Hospital — the first medical facility in our 13 colonies of scrappy go-getters […]",https://www.phillymag.com/be-well-philly/healthcare-worker-stories/,Health and Disease
On the Brink of Global Recession,The Atlantic,2026-04-22,"The economist Adam Posen on the effect of the war in Iran on the world’s economy and the darkening economic outlook for the United States. Plus: A shifting partisan balance of power and Ask Not: The Kennedys and the Women They Destroyed, by Maureen Callahan.",https://www.theatlantic.com/podcasts/2026/04/david-frum-show-adam-posen-global-recession/686900/,Conflict and Security
"A year after his death, a mobile health clinic in Pope Francis's Popemobile is barred from Gaza",TheJournal.ie,2026-04-21,"Months before his passing, Pope Francis gave his blessing for a popemobile to be turned into a mobile health clinic for Gazan children.",https://www.thejournal.ie/mobile-health-clinic-endorsed-by-pope-francis-has-yet-to-enter-gaza-7013271-Apr2026/,Health and Disease
"The Next Shift: The Fall of Industry and the Rise of Health Care in Rust Belt America 9780674259836 - DOKUMEN.PUB",Dokumen.pub,2026-04-25,"The Next Shift: The Fall of Industry and the Rise of Health Care in Rust Belt America 9780674259836 - DOKUMEN.PUBdokumen.pub",https://dokumen.pub/the-next-shift-the-fall-of-industry-and-the-rise-of-health-care-in-rust-belt-america-9780674259836.html,General
